accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
Q98989,STXA_SYNHO,703,Synanceia horrida,threat,pore_forming_toxin,"['PF24674', 'PF13765', 'PF00622', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0015459:F:potassium channel regulator activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","This lethal (towards mammals) heterodimer induces hemolytic activities due to its ability to form pores in the cell membrane (PubMed:12177053, PubMed:1790672, PubMed:26627714, PubMed:9271089). The pore may be composed of 10 SNTX-alpha/beta heterodimers (PubMed:26627714). The toxin elicits potent hypotension which is endothelium-dependent and appears to be mediated by the nitric oxide pathway and activation of potassium channels (PubMed:11931843, PubMed:8310447). In addition, it displays edema-inducing activities, increases vascular permeability. It also shows myotoxic activities and interferes irreversibly with neuromuscular function (PubMed:8079369). It also induces irreversible platelet aggregation in rabbit or rat (but not in human or mouse) whole blood (PubMed:8533137). In addition, it has been observed to increase spontaneous quantal acetylcholine release from isolated frog cutaneous pectoris motor endings (PubMed:8921306)",,False
P0DXX1,TXU8F_MEGOP,310,Megalopyge opercularis,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity']",May function as a large pore-forming protein,,False
P0DXX2,TXU8C_MEGOP,287,Megalopyge opercularis,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity']",May function as a large pore-forming protein,,False
P0DXX3,TXU88_MEGCS,287,Megalopyge crispata,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0090729:F:toxin activity']",Probable toxin,,False
A0A8B6XS44,ACTL3_HYDVU,157,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis (PubMed:31513812). Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin) (By similarity). Binds to the two sphingolipids, lysophosphatidic acid (LPA) and sphingosine-1-phosphate (S1P) (PubMed:31513812). Does not bind (or only weakly) to sulfatides (SFT) (PubMed:31513812). Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (PubMed:31513812). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (By similarity). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (By similarity)",,False
P0DQV7,ACTL7_HYDVU,187,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis (PubMed:31513812). Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin) (By similarity). Binds to sulfatides (PubMed:31513812). Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (PubMed:31513812). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (By similarity). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (By similarity)",,False
A0A8B6XWY5,ACTL5_HYDVU,186,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis. Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin). Binds to sulfatides (SFT) as well as to the two sphingolipids, lysophosphatidic acid (LPA) and sphingosine-1-phosphate (S1P). It seems to bind more strongly to LPA than to S1P and SFT. Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (By similarity). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (By similarity). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (By similarity)",,False
A0A8B6XDS4,ACTL2_HYDVU,203,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis (PubMed:31513812). Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin) (By similarity) (PubMed:31513812). Binds to sulfatides (SFT) (PubMed:31513812). Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (PubMed:31513812). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (By similarity). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (By similarity)",,False
A0A8B7DY61,ACTL6_HYDVU,186,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis (PubMed:31513812). Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin) (By similarity). Binds to sulfatides (PubMed:31513812). Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (PubMed:31513812). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (By similarity). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (By similarity)",,False
P61914,ACTP2_ACTEQ,214,Actinia equina,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0042802:F:identical protein binding', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms cations-selective hydrophilic pores of around 1 nm and causes cardiac stimulation and cytolysis. Pore formation is a multi-step process that involves specific recognition of membrane sphingomyelin (but neither cholesterol nor phosphatidylcholine) using aromatic rich region and adjacent phosphocholine (POC) binding site, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers. Cytolytic effects include red blood cells hemolysis, platelet aggregation and lysis, cytotoxic and cytostatic effects on fibroblasts. Lethality in mammals has been ascribed to severe vasospasm of coronary vessels, cardiac arrhythmia, and inotropic effects",,False
Q1ID47,APRA_PSEE4,485,Pseudomonas entomophila (strain L48),threat,pore_forming_toxin,"['PF00353', 'PF08548', 'PF13583']","['GO:0005615:C:extracellular space', 'GO:0005509:F:calcium ion binding', 'GO:0004222:F:metalloendopeptidase activity', 'GO:0008233:F:peptidase activity', 'GO:0090729:F:toxin activity', 'GO:0008270:F:zinc ion binding', 'GO:0030574:P:collagen catabolic process', 'GO:0030198:P:extracellular matrix organization', 'GO:0031638:P:zymogen activation']","Secreted protease which is important for P.entomophila to counteract the local immune response of Drosophila (PubMed:16789834). Can degrade antimicrobial peptides (AMPs), e.g. Diptericin and Cecropin A. Thus, protects P.entomophila from the Drosophila antimicrobial peptides produced by the gut innate immune response, and promotes bacterial persistence in the Drosophila gut and killing of the host (PubMed:16789834). Is responsible for maturation of pro-Monalysin to the active toxin Monalysin, by cleaving its N-terminus (PubMed:21980286)",,False
P13128,TACY_LISMO,529,Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),threat,pore_forming_toxin,"['PF17440', 'PF01289']","['GO:0005576:C:extracellular region', 'GO:0020002:C:host cell plasma membrane', 'GO:0015485:F:cholesterol binding', 'GO:0042802:F:identical protein binding', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0141160:P:symbiont-mediated disruption of host phagosome', 'GO:0044658:P:symbiont-mediated pore formation in host plasma membrane']","A cholesterol-dependent pore-forming toxin, which is a major virulence factor required for the escape of bacteria from phagosomal vacuoles and entry into the host cytosol. After binding to target membranes, the protein undergoes a major conformation change, leading to its insertion in the host membrane and formation of an oligomeric pore complex. Listeriolysin O activates mitogen-activated protein (MAP) kinase activity in host cells, most likely as a result of the permeabilization of the host cell membrane. Also induces a proteasome-independent degradation of UBE2I (the SUMO-conjugating enzyme UBC9) and a proteasome-dependent degradation of some sumoylated proteins. Finally, is necessary and sufficient for spacious Listeria-containing phagosomes (SLAPs) formation, suggesting a role for listeriolysin O in promoting L.monocytogenes replication in vacuoles, leading to persistent infection. Recognized by serum from healthy humans exposed to L.monocytogenes as well from patients who have recovered from listeriosis (PubMed:9284184)",,False
P09167,AERA_AERHY,493,Aeromonas hydrophila,threat,pore_forming_toxin,"['PF01117', 'PF03440']","['GO:0005576:C:extracellular region', 'GO:0020002:C:host cell plasma membrane', 'GO:0042802:F:identical protein binding', 'GO:0090729:F:toxin activity', 'GO:0001897:P:symbiont-mediated cytolysis of host cell']","Secreted, cytolytic toxin that forms pores in host membranes after proteolytic removal of a C-terminal propeptide, leading to destruction of the membrane permeability barrier and host cell death. The pores are formed by transmembrane beta-strands and are approximately 3 nm in diameter",,False
